inmonth,inday
5,20
5,20
5,20
5,20
5,20
5,20
5,20
5,19
5,19
5,19
5,18
5,18
5,18
5,18
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,16
5,16
5,13
5,16
5,16
5,15
5,15
5,15
5,14
5,14
5,14
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,12
5,11
5,11
5,10
5,10
5,9
5,9
5,9
5,9
5,9
5,8
5,8
5,8
5,7
5,7
5,7
5,6
5,6
5,6
5,6
5,6
5,3
5,5
5,5
5,4
5,4
5,3
5,2
5,2
5,2
5,2
5,2
5,1
5,1
4,30
4,30
4,30
4,30
4,30
4,29
4,29
4,28
4,28
4,28
4,28
4,28
4,28
4,28
4,28
4,28
4,28
4,27
4,27
4,27
4,27
4,27
4,27
4,25
4,25
4,24
4,24
4,24
4,23
4,22
4,22
4,21
4,21
4,21
4,20
4,20
4,20
4,20
4,19
4,19
4,18
4,18
4,18
4,17
4,17
4,17
4,16
4,16
4,16
4,16
4,16
4,15
4,14
4,14
4,14
4,14
4,13
4,13
4,13
4,13
4,13
4,13
4,12
4,12
4,10
4,10
4,10
4,10
4,9
4,9
3,30
4,2
4,2
4,2
4,2
4,3
4,3
4,4
4,4
4,4
4,5
4,7
4,7
4,7
4,7
4,7
4,8
4,8
3,28
3,31
3,31
3,31
3,31
3,26
3,26
3,24
3,21
3,27
3,27
3,27
3,28
3,29
3,29
3,30
3,25
3,22
3,25
3,24
3,23
3,23
3,23
3,22
3,21
3,21
3,20
3,19
3,19
3,19
3,19
3,19
3,18
3,16
3,15
3,15
3,14
3,13
3,13
3,13
3,11
3,11
3,11
3,10
3,9
3,7
3,7
3,7
3,7
3,6
3,2
1,4
1,4
1,4
1,5
1,5
1,4
1,5
1,7
1,7
1,7
1,8
1,8
1,8
1,8
1,9
1,10
1,10
1,11
1,11
1,12
1,12
1,12
1,13
1,14
1,14
1,14
1,14
1,15
1,15
1,15
1,16
1,16
1,16
1,17
1,17
1,19
1,19
1,19
1,20
1,20
1,20
1,19
1,21
1,21
1,21
1,21
1,22
1,22
1,22
1,22
1,23
1,23
1,26
1,29
1,31
2,1
2,11
2,20
2,22
2,24
2,24
2,26
12,29
12,30
12,30
12,31
12,31
12,31
1,1
1,2
1,2
1,3
1,3
7,16
7,16
7,16
7,16
7,15
7,15
7,15
7,15
7,15
7,14
7,14
7,14
7,13
7,13
7,13
7,13
7,12
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,10
7,10
7,10
7,9
7,9
7,9
7,9
7,9
7,8
7,8
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,6
7,6
7,6
7,6
7,5
7,5
7,4
7,4
7,4
7,4
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,2
7,2
7,2
7,2
7,1
7,1
6,29
6,29
6,29
6,29
6,30
6,30
6,30
6,30
6,28
6,28
6,28
6,28
6,27
6,26
6,26
6,25
6,25
6,24
6,24
6,24
6,24
6,24
6,24
6,24
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,22
6,22
6,22
6,22
6,21
6,21
6,21
6,21
6,21
6,21
6,21
6,18
6,19
6,19
6,19
6,18
6,18
6,5
6,5
6,5
6,5
6,6
6,7
6,7
6,7
6,7
6,7
6,8
6,8
6,8
6,8
6,8
6,9
6,9
6,9
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,11
6,11
6,11
6,11
6,11
6,11
6,6
6,12
6,12
6,12
6,12
6,12
6,12
6,12
6,11
6,13
6,13
6,14
6,15
6,15
6,16
6,16
6,16
6,16
6,16
6,16
6,16
6,16
6,17
6,17
6,17
6,4
6,3
6,3
6,3
6,3
6,3
6,2
6,2
6,2
6,1
6,1
6,1
6,1
6,1
6,1
6,1
5,31
5,31
5,31
5,31
5,30
5,30
5,30
5,30
5,29
5,29
5,29
5,29
5,28
5,28
5,28
5,28
5,27
5,27
5,27
5,27
5,27
5,27
5,26
5,26
5,25
5,25
5,25
5,25
5,24
5,24
5,23
5,23
5,23
5,23
5,23
5,22
5,22
5,22
5,22
5,21
5,21
5,20
5,20
5,20
5,20
5,20
5,19
5,19
5,19
5,19
5,19
5,18
5,18
5,18
5,18
5,17
5,17
5,17
5,17
5,16
5,16
5,16
5,16
5,15
5,15
5,15
5,15
5,15
5,15
5,15
5,15
5,14
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,12
5,12
5,11
5,11
5,11
5,11
5,10
5,10
5,10
5,10
5,10
5,10
5,9
5,9
5,9
5,9
5,9
5,9
5,8
5,8
5,8
5,8
5,7
5,7
5,6
5,6
5,6
5,6
5,5
5,5
5,5
5,5
5,5
5,5
5,4
5,4
5,4
5,4
5,3
5,3
5,3
4,30
5,2
5,2
5,2
5,2
5,1
5,1
5,1
4,30
4,30
4,29
4,29
4,29
4,29
4,29
4,29
4,29
4,29
4,28
4,28
4,28
4,28
4,27
4,26
4,26
4,26
4,26
4,26
4,25
4,25
4,25
4,25
4,25
4,25
4,25
4,24
4,24
4,23
4,23
4,23
4,23
4,22
4,22
4,21
4,21
4,21
4,21
4,21
4,20
4,20
4,20
4,20
4,20
4,19
4,19
4,19
4,19
4,18
4,18
4,18
4,17
4,17
4,17
4,16
4,16
12,30
4,15
4,15
4,14
4,14
4,14
4,14
4,14
4,14
4,13
4,13
4,13
4,12
4,12
4,12
4,12
4,11
4,11
4,11
4,11
4,10
4,10
4,10
4,10
4,10
4,10
4,10
4,9
4,9
4,9
4,9
4,1
4,1
4,3
4,4
4,4
4,5
4,5
4,6
4,6
4,7
4,7
4,8
4,8
4,8
4,8
4,8
4,8
4,8
4,8
4,8
4,8
3,26
3,24
3,27
3,28
3,24
3,24
3,24
3,24
3,23
3,21
3,21
3,20
3,18
3,18
3,12
3,12
3,11
3,4
3,4
1,4
1,4
1,5
1,6
1,6
1,6
1,6
1,7
1,8
1,8
1,5
1,8
1,8
1,9
1,9
1,9
1,10
1,10
1,10
1,10
1,11
1,11
1,11
1,11
1,12
1,12
1,12
1,12
1,12
1,12
1,13
1,13
1,13
1,13
1,13
1,13
1,14
1,14
1,14
1,14
1,14
1,14
1,14
1,14
1,15
1,15
1,15
1,15
1,15
1,16
1,16
1,16
1,16
1,16
1,17
1,17
1,17
1,17
1,18
1,18
1,18
1,19
1,19
1,19
1,19
1,19
1,20
1,20
1,15
1,20
1,20
1,21
1,21
1,21
1,22
1,22
1,22
1,22
1,23
1,24
1,24
1,26
1,27
2,1
2,5
2,18
2,21
2,22
12,30
1,1
1,1
1,1
1,1
1,3
7,16
7,16
7,16
7,16
7,16
7,16
7,16
7,15
7,15
7,15
7,14
7,14
7,14
7,12
7,13
7,13
7,13
7,13
7,13
7,13
7,13
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,10
7,10
7,9
7,9
7,9
7,9
7,9
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,7
7,7
7,6
7,6
7,6
7,6
7,6
7,6
7,5
7,5
7,5
7,5
7,5
7,5
7,4
7,4
7,4
7,4
7,4
7,4
7,3
7,3
7,3
7,3
7,3
7,2
7,2
7,2
7,2
6,29
6,29
6,29
6,29
6,29
6,29
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,28
6,27
6,27
6,27
6,27
6,26
6,26
6,26
6,25
6,25
6,25
6,25
6,24
6,24
6,24
6,24
6,24
6,24
6,23
6,23
6,23
6,23
6,23
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,21
6,21
6,20
6,20
6,20
6,20
6,20
6,20
6,19
6,19
6,19
6,19
6,19
6,19
6,19
6,19
6,18
6,18
6,18
6,18
6,5
6,5
6,5
6,5
6,5
6,6
6,6
6,7
6,7
6,7
6,8
6,8
6,9
6,9
6,9
6,9
6,9
6,9
6,10
6,10
6,10
6,11
6,11
6,12
6,12
6,12
6,12
6,12
6,12
6,14
6,14
6,14
6,14
6,15
6,15
6,15
6,15
6,16
6,16
6,16
6,16
6,16
6,16
6,16
6,16
6,17
6,17
6,17
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,2
6,2
6,1
6,1
6,1
6,1
5,31
5,31
5,31
5,31
5,30
5,30
5,30
5,29
5,29
5,29
5,29
5,29
5,28
5,28
5,28
5,24
5,27
5,27
5,27
5,27
5,27
5,27
5,26
5,26
5,26
5,26
5,26
5,25
5,25
5,25
5,25
5,24
5,24
5,24
5,24
5,24
5,23
5,22
5,21
5,21
5,21
5,21
5,21
5,21
5,20
5,20
5,20
5,20
5,20
5,19
5,19
5,19
5,19
5,19
5,19
5,18
5,18
5,17
5,17
5,17
5,13
5,16
5,16
5,16
5,16
5,16
5,16
5,16
5,15
5,15
5,15
5,15
5,15
5,14
5,13
5,13
5,13
5,13
5,12
5,12
5,12
5,12
5,12
5,11
5,11
5,11
5,10
5,10
5,10
5,10
5,9
5,8
5,8
5,8
5,8
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,5
5,5
5,5
5,5
5,5
5,4
5,4
5,4
5,3
5,2
5,2
5,1
4,27
4,30
4,30
4,30
4,29
4,29
4,29
4,29
4,29
4,29
4,29
4,28
4,28
4,28
4,28
4,27
4,27
4,27
4,27
4,26
4,26
4,26
4,26
4,25
4,24
4,24
4,21
4,23
4,23
4,23
4,22
4,22
4,22
4,22
4,21
4,20
4,20
4,20
4,20
4,20
4,20
4,20
4,19
4,18
4,18
4,18
4,18
4,17
4,17
4,16
4,16
4,16
4,15
4,15
4,14
4,14
4,14
4,13
4,13
4,13
4,12
4,12
4,12
4,12
4,12
4,10
4,10
4,7
4,9
4,9
4,1
4,1
4,2
4,2
4,2
4,2
4,3
4,6
4,6
4,6
4,7
4,7
4,7
4,7
4,8
4,8
4,8
4,8
3,26
3,27
3,28
3,29
3,29
3,29
3,30
3,30
3,30
3,30
3,25
3,25
3,25
3,24
3,24
3,23
3,23
3,20
3,22
3,22
3,22
3,20
3,20
3,19
3,19
3,19
3,18
3,18
3,17
3,16
3,16
3,15
3,14
3,13
3,12
3,9
3,6
3,5
3,4
3,2
2,29
1,4
1,4
1,4
1,5
1,6
1,6
1,7
1,7
1,9
1,9
1,9
1,9
1,9
1,10
1,10
1,10
1,10
1,10
1,11
1,11
1,12
1,12
1,12
1,12
1,12
1,12
1,12
1,13
1,13
1,13
1,13
1,13
1,13
1,14
1,14
1,14
1,14
1,14
1,14
1,12
1,13
1,15
1,15
1,15
1,14
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,17
1,17
1,18
1,18
1,18
1,19
1,19
1,19
1,19
1,20
1,20
1,20
1,21
1,21
1,21
1,21
1,21
1,22
1,23
1,25
2,11
2,13
2,14
2,20
2,24
12,29
12,29
12,31
12,31
12,31
1,1
1,3
7,16
7,16
7,16
7,16
7,16
7,16
7,16
7,16
7,15
7,15
7,15
7,15
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,13
7,13
7,13
7,13
7,13
7,13
7,12
7,12
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,11
7,10
7,10
7,9
7,9
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,6
7,6
7,6
7,6
7,6
7,6
7,5
7,5
7,5
7,5
7,4
7,4
7,4
7,4
7,4
7,4
7,3
7,3
7,3
7,3
7,3
7,3
7,3
7,2
7,2
7,2
7,2
7,2
7,2
7,1
7,1
7,1
7,1
7,1
7,1
6,29
6,29
6,29
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,28
6,28
6,28
6,28
6,27
6,27
6,27
6,27
6,27
6,24
6,26
6,26
6,26
6,26
6,24
6,24
6,24
6,24
6,24
6,23
6,23
6,23
6,23
6,23
6,22
6,22
6,22
6,22
6,22
6,22
6,21
6,19
6,19
6,19
6,19
6,19
6,18
6,18
6,5
6,5
6,5
6,5
6,5
6,5
6,6
6,6
6,6
6,6
6,7
6,7
6,8
6,8
6,8
6,8
6,9
6,9
6,9
6,10
6,10
6,10
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,12
6,12
6,12
6,12
6,11
6,11
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,14
6,15
6,15
6,16
6,16
6,17
6,17
6,17
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,3
6,3
6,3
6,3
6,3
6,2
6,2
6,2
6,2
6,1
6,1
6,1
6,1
5,31
5,31
5,30
5,30
5,30
5,30
5,29
5,29
5,29
5,29
5,29
5,28
5,27
5,27
5,27
5,27
5,26
5,26
5,26
5,25
5,25
5,25
5,25
5,25
5,25
5,24
5,24
5,24
5,24
5,23
5,23
5,23
5,22
5,22
5,20
5,20
5,20
5,20
5,20
5,20
5,20
5,20
5,19
5,19
5,19
5,19
5,19
5,18
5,18
5,17
5,17
5,17
5,17
5,16
5,15
5,15
5,15
5,14
5,14
5,14
5,14
5,14
5,13
5,13
5,12
5,12
5,11
5,11
5,11
5,11
5,11
5,10
5,10
5,10
5,9
5,9
5,9
5,9
5,9
5,9
5,9
5,9
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,6
5,5
5,4
5,4
5,4
5,3
5,3
5,3
5,2
5,2
5,1
5,1
5,1
5,1
4,30
4,30
4,30
4,29
4,29
4,29
4,29
4,28
4,28
4,27
4,27
4,27
4,26
4,26
4,25
4,24
4,24
4,24
4,24
4,23
4,23
4,23
4,23
4,22
4,22
4,22
4,22
4,21
4,21
4,21
4,19
4,18
4,18
4,18
4,16
4,16
4,16
4,15
4,15
4,15
4,15
4,14
4,14
4,13
4,13
4,13
4,13
4,13
4,12
4,12
4,12
4,12
4,12
4,11
4,10
4,10
4,10
4,9
4,9
4,9
4,1
4,1
4,1
4,1
4,1
4,1
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,3
4,4
4,4
4,4
4,4
4,5
4,6
4,7
4,7
4,8
4,8
4,8
3,31
3,31
3,31
3,31
3,31
3,26
3,26
3,27
3,27
3,27
3,27
3,28
3,28
3,29
3,29
3,30
3,30
3,25
3,23
3,23
3,21
3,20
3,20
3,19
3,19
3,19
3,18
3,18
3,17
3,16
3,14
3,14
3,14
3,13
3,12
3,4
2,28
1,4
1,4
1,4
1,4
1,5
1,5
1,7
1,7
1,8
1,8
1,8
1,8
1,8
1,9
1,9
1,10
1,10
1,11
1,11
1,11
1,8
1,11
1,11
1,12
1,11
1,13
1,13
1,14
1,15
1,15
1,16
1,14
1,16
1,16
1,16
1,17
1,17
1,17
1,17
1,18
1,18
1,18
1,19
1,20
1,20
1,20
1,20
1,18
1,18
1,21
1,21
1,21
1,20
1,22
1,23
1,25
1,21
2,5
2,27
12,30
12,30
1,2
1,2
1,3
1,3
7,16
7,16
7,16
7,16
7,15
7,15
7,15
7,15
7,15
7,14
7,14
7,14
7,14
7,14
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,11
7,10
7,10
7,10
7,10
7,10
7,10
7,9
7,9
7,9
7,9
7,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,7
7,6
7,6
7,6
7,6
7,6
7,6
7,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,3
7,3
7,3
7,3
7,3
7,3
7,2
7,2
7,2
7,2
7,2
7,2
7,1
7,1
6,29
6,29
6,29
6,29
6,29
6,29
6,30
6,30
6,30
6,30
6,28
6,28
6,28
6,28
6,26
6,27
6,26
6,25
6,25
6,25
6,25
6,25
6,25
6,24
6,24
6,24
6,24
6,24
6,21
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,22
6,21
6,21
6,20
6,20
6,19
6,19
6,19
6,19
6,19
6,18
6,18
6,18
6,18
6,18
6,18
6,2
6,5
6,5
6,5
6,5
6,5
6,6
6,6
6,6
6,6
6,7
6,8
6,8
6,8
6,9
6,9
6,9
6,9
6,9
6,10
6,10
6,10
6,10
6,10
6,11
6,11
6,12
6,13
6,13
6,13
6,14
6,14
6,14
6,14
6,14
6,14
6,15
6,15
6,15
6,15
6,15
6,15
6,16
6,16
6,16
6,17
6,4
6,4
6,4
6,4
6,3
6,3
6,3
6,3
6,3
6,2
6,2
6,2
6,1
6,1
5,31
5,29
5,31
5,30
5,30
5,30
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,27
5,27
5,27
5,26
5,26
5,26
5,26
5,26
5,26
5,25
5,25
5,25
5,24
5,24
5,23
5,23
5,23
5,23
5,23
5,23
5,22
5,22
5,22
5,19
5,19
5,19
5,19
5,19
5,19
5,19
5,18
5,18
5,18
5,17
5,17
5,17
5,17
5,16
5,16
5,16
5,16
5,16
5,16
5,15
5,15
5,15
5,15
5,15
5,14
5,13
5,13
5,13
5,13
5,12
5,12
5,12
5,12
5,12
5,12
5,11
5,11
5,11
5,11
5,11
5,10
5,10
5,9
5,9
5,9
5,9
5,9
5,9
5,8
5,8
5,8
5,7
5,7
5,6
5,6
5,6
5,6
5,5
5,5
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,3
5,3
5,3
5,3
5,2
5,2
5,2
5,2
5,2
5,2
5,1
5,1
5,1
4,30
4,30
4,30
4,30
4,30
4,30
4,29
4,29
4,29
4,29
4,29
4,28
4,27
4,27
4,27
4,26
4,26
4,25
4,25
4,24
4,23
4,23
4,23
4,22
4,22
4,21
4,21
4,20
4,20
4,20
4,14
4,19
4,18
4,17
4,17
4,16
4,15
4,15
4,15
4,14
4,14
4,14
4,14
4,14
4,14
4,14
4,12
4,11
4,11
4,11
4,10
4,10
4,10
4,10
4,10
4,10
4,9
4,9
4,9
4,1
4,1
4,2
4,2
4,2
4,2
4,3
4,4
4,4
4,4
4,5
4,5
4,6
4,7
4,7
4,7
4,7
4,8
4,8
3,31
3,31
3,31
3,26
3,26
3,26
3,26
3,27
3,27
3,27
3,27
3,28
3,28
3,28
3,29
3,30
3,24
3,24
3,24
3,23
3,22
3,21
3,19
3,20
3,20
3,20
3,20
3,19
3,19
3,18
3,18
3,17
3,14
3,13
3,12
3,10
3,9
3,8
3,5
3,5
3,4
1,4
1,4
1,6
1,9
1,9
1,9
1,10
1,10
1,11
1,11
1,11
1,11
1,11
1,11
1,12
1,12
1,12
1,12
1,13
1,13
1,13
1,14
1,14
1,15
1,15
1,15
1,15
1,15
1,15
1,15
1,15
1,16
1,16
1,16
1,16
1,16
1,17
1,17
1,17
1,15
1,17
1,18
1,18
1,18
1,18
1,19
1,19
1,20
1,20
1,20
1,21
1,21
1,21
1,22
1,22
1,24
1,29
1,30
2,12
2,12
2,27
12,28
12,30
1,1
1,2
7,16
7,16
7,16
7,8
7,15
7,15
7,15
7,15
7,14
7,14
7,14
7,14
7,13
7,13
7,13
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,10
7,10
7,10
7,10
7,10
7,10
7,10
7,9
7,9
7,9
7,9
7,9
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,3
7,3
7,3
7,3
7,3
7,3
7,2
7,2
7,2
7,2
7,2
7,1
7,1
6,29
6,30
6,30
6,30
6,30
6,30
6,30
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,23
6,27
6,27
6,27
6,27
6,26
6,26
6,26
6,25
6,25
6,24
6,24
6,24
6,24
6,24
6,24
6,24
6,23
6,18
6,22
6,22
6,22
6,22
6,22
6,21
6,21
6,21
6,21
6,21
6,21
6,21
6,20
6,20
6,20
6,19
6,19
6,18
6,18
6,18
6,3
6,5
6,5
6,5
6,5
6,5
6,5
6,6
6,6
6,6
6,6
6,6
6,6
6,7
6,7
6,7
6,7
6,7
6,8
6,8
6,8
6,8
6,9
6,9
6,10
6,10
6,10
6,10
6,10
6,11
6,12
6,12
6,13
6,13
6,13
6,13
6,14
6,14
6,14
6,14
6,15
6,15
6,15
6,15
6,15
6,15
6,15
6,15
6,16
6,16
6,16
6,16
6,16
6,16
6,17
6,17
6,17
6,4
6,4
6,4
6,3
6,3
6,3
6,3
6,3
6,3
6,3
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
5,27
6,1
6,1
6,1
6,1
6,1
5,31
5,31
5,31
5,31
5,31
5,30
5,30
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,28
5,28
5,28
5,28
5,28
5,28
5,27
5,27
5,26
5,26
5,26
5,25
5,25
5,25
5,25
5,24
5,23
5,23
5,23
5,22
5,22
5,22
5,21
5,21
5,21
5,21
5,21
5,20
5,20
5,20
5,20
5,20
5,19
5,19
5,19
5,18
5,18
5,18
5,18
5,18
5,17
5,17
5,16
5,16
5,16
5,15
5,15
5,15
5,15
5,14
5,14
5,14
5,13
5,13
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,10
5,10
5,9
5,9
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,7
5,7
5,7
5,6
5,6
5,6
5,6
5,6
5,6
5,5
5,5
5,5
5,5
5,4
5,4
5,4
5,4
5,4
5,3
5,3
5,2
5,2
5,2
5,2
5,2
5,1
5,1
5,1
4,30
4,30
4,30
4,30
4,30
4,29
4,29
4,29
4,29
4,29
4,29
4,28
4,28
4,28
4,27
4,27
4,27
4,27
4,26
4,26
4,25
4,25
4,25
4,24
4,24
4,24
4,24
4,22
4,22
4,22
4,22
4,22
4,22
4,22
4,21
4,21
4,20
4,19
4,18
4,18
4,18
4,18
4,17
4,17
4,17
4,16
4,16
4,15
4,15
4,14
4,14
4,14
4,14
4,13
4,13
4,13
4,13
4,13
4,13
4,13
4,12
4,9
4,11
4,11
4,9
3,30
4,1
4,1
4,2
4,3
4,4
4,4
4,4
4,5
4,6
4,4
4,7
4,7
4,7
4,8
4,8
4,8
3,31
3,31
3,31
3,26
3,26
3,26
3,27
3,27
3,27
3,27
3,28
3,29
3,29
3,30
3,24
3,23
3,23
3,20
3,22
3,22
3,21
3,21
3,20
3,19
3,19
3,19
3,17
3,15
3,13
3,4
3,2
3,2
1,4
1,4
1,4
1,5
1,6
1,7
1,7
1,7
1,7
1,8
1,8
1,8
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,10
1,10
1,10
1,10
1,11
1,11
1,11
1,13
1,13
1,13
1,13
1,14
1,14
1,14
1,15
1,15
1,16
1,16
1,17
1,17
1,17
1,17
1,17
1,17
1,18
1,18
1,18
1,18
1,18
1,18
1,19
1,19
1,19
1,19
1,19
1,20
1,20
1,20
1,21
1,21
1,21
1,22
1,22
1,23
1,25
1,26
2,7
2,13
2,25
2,26
12,31
12,31
12,31
12,31
1,1
1,2
1,3
1,3
7,10
7,12
7,16
7,16
7,16
7,15
7,15
7,15
7,15
7,15
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,13
7,13
7,13
7,13
7,13
7,13
7,13
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,10
7,10
7,10
7,10
7,9
7,9
7,9
7,9
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,7
7,7
7,6
7,6
7,5
7,5
7,5
7,4
7,4
7,4
7,4
7,1
7,3
7,3
7,3
7,2
7,2
7,1
7,1
6,29
6,29
6,30
6,30
6,30
6,30
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,28
6,27
6,27
6,27
6,26
6,26
6,26
6,26
6,26
6,25
6,25
6,24
6,24
6,24
6,24
6,24
6,24
6,23
6,23
6,22
6,22
6,22
6,22
6,22
6,21
6,21
6,21
6,21
6,21
6,21
6,21
6,21
6,20
6,20
6,20
6,20
6,19
6,19
6,19
6,19
6,19
6,19
6,19
6,19
6,18
6,18
6,18
6,18
6,18
6,18
6,5
6,5
6,5
6,5
6,5
6,5
6,6
6,7
6,7
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,9
6,9
6,9
6,9
6,9
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,11
6,11
6,11
6,11
6,12
6,12
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,13
6,14
6,14
6,14
6,14
6,14
6,15
6,15
6,15
6,12
6,15
6,16
6,12
6,17
6,17
6,17
6,17
6,17
6,17
6,1
6,3
6,3
6,3
6,3
6,2
6,2
6,2
6,2
6,1
5,31
5,31
5,31
5,30
5,30
5,30
5,30
5,30
5,30
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,28
5,28
5,28
5,28
5,27
5,27
5,27
5,27
5,27
5,26
5,26
5,26
5,25
5,25
5,24
5,24
5,24
5,24
5,23
5,23
5,23
5,23
5,22
5,22
5,22
5,22
5,21
5,21
5,20
5,17
5,19
5,19
5,18
5,18
5,18
5,18
5,17
5,17
5,16
5,16
5,15
5,15
5,15
5,14
5,14
5,14
5,13
5,13
5,13
5,13
5,13
5,13
5,12
5,12
5,12
5,11
5,11
5,11
5,11
5,10
5,10
5,9
5,9
5,9
5,9
5,9
5,9
5,8
5,8
5,6
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,6
5,5
5,5
5,4
5,4
5,4
5,3
5,3
5,3
5,3
5,3
5,2
5,2
5,2
5,2
5,1
5,1
5,1
4,30
4,30
4,29
4,29
4,29
4,29
4,29
4,29
4,29
4,29
4,28
4,28
4,28
4,28
4,28
4,27
4,27
4,27
4,27
4,27
4,26
4,26
4,26
4,25
4,25
4,25
4,24
4,24
4,24
4,23
4,23
4,23
4,23
4,23
4,22
4,22
4,22
4,21
4,20
4,20
4,20
4,20
4,19
4,19
4,19
4,17
4,16
4,16
4,15
4,15
4,15
4,15
4,14
4,14
4,14
4,14
4,14
4,14
4,13
4,13
4,13
4,13
4,12
4,12
4,12
4,11
4,11
4,10
4,10
4,10
4,10
4,10
4,9
4,9
4,9
4,9
4,1
4,1
4,1
4,2
4,4
4,4
4,4
4,5
4,4
4,6
4,7
4,7
4,7
4,8
4,8
4,8
4,8
4,8
4,8
4,8
3,31
3,31
3,31
3,26
3,26
3,27
3,27
3,27
3,28
3,29
3,29
3,29
3,25
3,25
3,25
3,24
3,24
3,24
3,23
3,22
3,21
3,20
3,20
3,20
3,20
3,19
3,19
3,18
3,17
3,17
3,16
3,16
3,16
3,15
3,14
3,14
3,14
3,14
3,13
3,9
3,9
3,7
3,4
3,3
3,1
2,29
1,4
1,4
1,4
1,5
1,6
1,6
1,6
1,7
1,8
1,8
1,8
1,8
1,9
1,9
1,9
1,10
1,11
1,11
1,11
1,11
1,11
1,11
1,11
1,11
1,11
1,12
1,15
1,15
1,15
1,16
1,16
1,16
1,13
1,16
1,17
1,17
1,17
1,17
1,18
1,19
1,19
1,19
1,20
1,20
1,20
1,21
1,21
1,22
1,22
1,23
1,23
1,25
1,25
1,27
1,28
1,29
1,30
2,3
1,30
12,27
12,30
12,31
1,1
1,2
1,2
1,3
1,3
7,16
7,16
7,16
7,16
7,15
7,15
7,14
7,14
7,14
7,14
7,14
7,14
7,14
7,13
7,13
7,12
7,12
7,12
7,12
7,11
7,11
7,11
7,11
7,11
7,10
7,10
7,10
7,10
7,9
7,9
7,9
7,9
7,9
7,9
7,8
7,8
7,8
7,8
7,7
7,7
7,7
7,7
7,7
7,7
7,6
7,6
7,5
7,5
7,5
7,4
7,4
7,4
7,4
7,3
7,3
7,3
7,3
7,3
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,1
6,29
6,29
6,29
6,30
6,30
6,30
6,30
6,30
6,28
6,28
6,28
6,28
6,28
6,27
6,27
6,26
6,26
6,26
